Claire Weiss|Bennie Pollock|Claire and Bennie robbed banks together
Claire Weiss|Agent Sitwell|Sitwell recruited Claire into SHIELD
Claire Weiss|Felix Blake|Claire became Blake's assistant
Bennie Pollock|Agent Sitwell|Sitwell recruited Bennie into SHIELD
Bennie Pollock|Felix Blake|Bennie was with Claire when she became Agent Blake's assistant
Agent Sitwell|Felix Blake|Blake sent Sitwell to retrieve the chitauri gun
